Total_position,Total_company,Salary_per_month
项目执行助理,北京兰马科技有限公司,4500.0
招生老师,励德爱思唯尔（上海）,3300.0
北京销售专员,北京风行盛世文化传播有限公司,4000.0
企业BD,北京金航晨教育科技有限公司,6600.0
高薪招聘 兼--职英语编辑,中艺黄金控股股份有限公司,4300.0
销售经理,北京大博群英广告有限公司,4000.0
歌手,北京宏达一甲教育科技有限公司,5000.0
人力资源管培生,北京深微文化传媒有限公司,3000.0
平面设计实习生,北京四艺影视传媒有限公司,6000.0
销售助理,上海世茂商业投资管理有限公司,6000.0
销售助理,北京优诺斯德广告有限公司,2000.0
高薪影视化妆师及化妆师助理,上海分众晶视广告有限公司,4000.0
编导助理,博亚信达企业管理咨询（北京）有限...,3000.0
实习生,北京太合影视投资有限公司,6000.0
餐厅 茶艺服务员,北京天元正和文化传媒有限公司,3000.0
媒介经理,中国新闻出版研究院,0
展览展示专业实习生,北京壹美四季文化传播有限公司,3000.0
电话沟通专员,北京经观文化传媒有限公司,5000.0
医学部助理,北京中装华盛国际展览有限公司,2000.0
销售经理,北京时代优讯广告有限公司,3300.0
销售员,北京四季赫立广告有限公司,4500.0
实习生,北京华展迅通信息技术有限公司,8000.0
中影影城-营运部员工（千禧街店）,北京标旗嘉誉标识系统有限公司,4000.0
客服专员,北京我想创意资产管理有限公司,1500.0
客服专员,中影影院投资有限公司,0
实习生,鼎昊健远（北京）影视科技有限责任...,3000.0
商务专员,北京九鼎鸿艺影视文化股份有限公司,4500.0
3D Designer Intern,中国动漫集团有限公司,0
实习生,上海聚鹏科技有限公司,4500.0
图书校对编辑,Activation Group,2000.0
销售专员,北京玩转互联科技有限公司,4500.0
销售专员,北京静心苑文化发展有限公司,4000.0
图片编辑（新媒体方向）,上海郁金香广告传媒有限公司,4500.0
行政前台,北京朱炳仁文化艺术有限公司,6000.0
外贸专员,北京全景地理书业有限公司,6000.0
营业员,北京推高科技有限公司,5000.0
店员/导购/店长,北京五洲国际展览有限公司,6000.0
行政秘书,北京恒久文化发展有限公司,3500.0
项目助理,深圳月步文化科技有限公司,3500.0
企宣助理,北京文克思展览设施有限公司,4500.0
财务实习生,北京万相环球文化有限公司,5000.0
平面设计,北京每日视界影视动画股份有限公司,3000.0
幼小衔接班班主任,Jackson Dawson中国,2000.0
自由投稿人,北京伍叁零科学文化传播有限公司,6000.0
创意实习生,北京粽英领航教育咨询有限公司,4500.0
前台行政,公司名,0
图书编目数据员（国企招聘）,众旅云商（北京）网络科技有限公司,1500.0
2018年校园招聘--销售专员,国安DDB（北京）广告传媒有限公司,0
市场营销咨询顾问实习生,中国工业文化创新创业基地,3000.0
文学责编实习生,北京中科进出口有限责任公司,3500.0
销售代表,国药励展展览有限责任公司,4500.0
人像影楼数码修片师/学员(含五险包食宿),北京唯贤营销科技有限公司,3000.0
商务专员,深圳海棠果影业有限公司,2000.0
法务实习生,北京合一国际会展服务有限公司,6000.0
网红实习生,北京苏菲施华洛婚纱摄影有限公司,2000.0
客户执行,北京乐品乐道科技有限公司,3000.0
项目运维实习生,人民网股份有限公司,1000.0
模型艺术家（工作地点：四川成都）,咸豆（北京）文化传播有限公司,6000.0
检票员（北京恒业国际影城）,东方美谷企业集团上海文化传媒有限...,4000.0
商务专员,北京新京报传媒有限责任公司,1000.0
保利影城-服务员,墨境天合无锡数字图像科技有限公司...,6000.0
活动执行AE,福建恒业影格影院投资管理有限公司,3000.0
前台行政助理,核心创艺（北京）文化股份有限公司,5000.0
行政实习生,北京京禾电影放映有限公司,3000.0
运营员工（男女不限）,北京医脉众康科技信息有限公司,6000.0
