Total_position,Total_company,Salary_per_month
媒体监测/地铁广告画面拍摄,北京鸿特卓博咨询服务有限公司,4000.0
爵士舞老师高新区,上海丝芭文化传媒有限公司,4500.0
急聘乐山区域销售经理,成都大象地铁广告有限公司,4500.0
市场业务员,成都吉美星梦教育咨询有限公司,4000.0
视频制作,成都天演文化传播有限公司,3000.0
实习生招聘,四川源电安装工程有限公司,6000.0
片区经理,四川新媒源文化传媒有限公司,3500.0
销售代表,尚层正礼文化传播成都有限公司,2000.0
一线员工,四川华夏万卷文化传媒股份有限公司,4000.0
项目助理/商务助理,成都两心相悦婚姻服务有限公司,3000.0
媒体开发专员,融昇影业有限公司,1500.0
实习生策划,成都咪宅奇林文化传播有限公司,3000.0
美工相册制作,成都市壹媒界广告有限公司,5000.0
电销/大客户销售/储备销售主管,成都海地印象文化传播有限公司,2000.0
文员,成都维纳斯婚纱造型摄影有限公司,2500.0
网易新闻搜狐新闻手机端APP 广告销售,重庆筑励企业管理咨询有限公司,3000.0
游戏主播（绝地求生）,成都谦牧文化传播有限公司,2000.0
化妆/表演培训学员,四川七八九广告有限公司,6000.0
文案助理,葫芦岛市泰合时代文化传媒有限公司,2000.0
市场拓展/市场营销,成都市大成美视形象设计有限公司,1000.0
展览设计师,广州凡拓数字创意科技股份有限公司,2000.0
市场销售,深圳市新艺坊展览策划有限公司双流...,6000.0
产品经理助理/人事/助理/专员/产品推广,四川志高展示装饰工程有限公司,6000.0
销售经理,成都视点映画文化传播有限公司,2000.0
校园大使,北京尚可卓博信息科技有限公司,6500.0
签约演员.模特.歌手（宣传推广）,四川云田文化传媒有限公司,5000.0
产品设计助理,成都聚星时代文化传播有限公司,3000.0
星探/星探主管,北京龙族星工厂娱乐有限公司,6666.666666666666
销售专员,成都沸腾品牌设计有限公司,3000.0
销售代表,成都爱都时代文化传播有限公司,4500.0
实习销售员,成都优猎品牌策划有限公司,4000.0
电影院店员,成都万利传媒有限公司,4000.0
新媒体主持人,成都培丰舞台设备工程有限公司,3000.0
品牌推广专员（双休+社保）,成都天智影院管理有限公司,3000.0
棋牌游戏客服(无责底薪+周末双休早9晚6),成都盛晁文化传媒有限公司,6000.0
公交客服专员,成都阿纳巴里影业有限公司,4000.0
平面设计实习生,成都亿酷广告有限公司,5000.0
设计助理（3D设计/展览展示设计）,成都智元汇信息技术股份有限公司,2000.0
商务顾问/客户代表（爱奇艺四川）  双休  五险一金,成都市博思堂广告有限公司,1500.0
电话销售底薪4000+双休,成都品汇品牌营销策划有限公司,4000.0
前台接待,四川智博新创科技有限公司,3000.0
文案编辑,四川万竣商务咨询有限公司,6000.0
运营专员,成都印象文化传播有限公司,3000.0
影城服务员,成都绿树林广告有限责任公司,3000.0
试物所新媒体平台采编运营,永乐票务,2000.0
实习新媒体运营,保利影业投资有限公司,2000.0
广告销售专员,成都坚果广告有限公司,6000.0
设计助理,成都壹雅文化传播有限公司,1000.0
理货员（库房  大丰  单休）,镜尚传媒有限公司,6000.0
平面设计实习生,成都智美品牌营销策划有限公司,3000.0
行政内勤专员,公司名,0
美团送餐员,四川时代安盛出版物连锁发行有限责...,2000.0
电话销售,成都市东海广告有限责任公司,0
客服人员实习生,四川上润文化传播有限公司,2500.0
平面设计师助理,成都新鲜人人力资源管理有限公司,4500.0
导购,成都宜合道营销顾问有限公司,3000.0
电销专员,成都拓源房地产营销策划有限公司,2500.0
业务助理,成都市零上四度广告有限公司,3000.0
贷款专员 房抵贷渠道经理,集群视觉文化传播有限公司四川分公司,2000.0
售后维修工程师,四川富世佳商业管理有限公司,2500.0
行政文员,湖南慧合传媒有限公司,3000.0
AE/客户执行,成都锦安恒信商务信息咨询有限公司,3000.0
青白江平面设计师,四川省欧玛科技有限公司,4500.0
高薪招聘网络主播,成都新新文化发展有限公司,3000.0
管理培训生,四川盛世新长峰广告有限责任公司,2500.0
腾讯广告合伙人,成都市百熙广告有限责任公司,2000.0
急招美团外卖送餐员—金堂站,四川蜀味印象文化传播有限公司,6000.0
网络主播/艺人/演艺人员,四川风尚国际婚纱摄影有限公司,3000.0
快递员-国际快件-中外运敦豪,聊城市黄金源商贸有限公司,20000.0
店面设计师助理,成都喜乐途科技有限公司,3000.0
商务代表（无责任底薪+高提成）,成都予翌影视传媒有限公司,4000.0
销售经理助理,成都少农夏布文化艺术有限公司,3000.0
销售商务,成都飞扬纳蓝空间装饰工程有限公司,2000.0
高薪急聘数名,四川中盟兄弟文化传播有限公司,3000.0
前台接待/行政前台/人事助理3000+,成都零点在线广告有限公司,3000.0
市场推广经理,圣才电子书（武汉）有限公司,8000.0
西西弗书店-店员,湖北大黄蜂网络科技股份有限公司,0
课程顾问/招生顾问,四川御铁视文化传媒有限公司,3000.0
课程销售,成都蜀境文化传播有限公司,3000.0
新人主播+带薪培训,重庆西西弗文化传播有限公司,2400.0
急聘销售代表无责底薪3300+提成,成都风象文化传播有限公司,4000.0
销售助理,成都那特教育咨询有限责任公司,4000.0
网络主播,成都聚艺星文化传播有限公司,10000.0
发货员打包员,成都宏博园文化传媒有限公司,3700.0
化妆师助理,四川华楠汇光电科技有限责任公司,2800.0
仙侠大剧高薪聘请演员化妆摄影导演助理,深圳市聚娇文化传播有限公司,3000.0
3D设计师,成都奇果树广告有限公司,2500.0
助理设计师,锦江区时光素描摄影工作室,1500.0
急招营业员,北京巨擘广告制作有限公司,6000.0
活动策划专员（实习生）,成都大成唯爱婚庆服务有限公司,4000.0
诚聘演员艺人（可签约培训）,成都溯本文化传播有限公司,1800.0
底薪6000销售顾问,成都宝贝家族文化传播有限公司,2000.0
会展实习生,成都亚浩文化传播有限公司,2500.0
市场总监(待遇优渥，面议),深圳市艺赋文化传媒有限公司,4500.0
市场/销售/营销/商务专员,成都智懿华企业管理咨询有限公司,6000.0
课程顾问,成都市天一展览服务有限公司,3000.0
新媒体运营实习专员,四川妙戏教育科技有限公司,6000.0
房地产销售,成都欣欣曹实广告有限责任公司,3000.0
打包员,优胜教育,5000.0
销售客服,成都聚合互动科技有限公司,0
特效AE/三维动画,成都菲斯特房地产营销策划有限公司,6000.0
急聘技术支持工程师,公司名,0
行政人事助理,四川江夏文化有限公司,2000.0
客户专员AE（房产广告）实习生,成都市品值企业管理服务中心,3000.0
高薪诚聘市场专员,成都若谷广告有限公司,5000.0
高提成+双休+社保 销售代表,成都草堂书香科技有限责任公司,4500.0
项目助理/专员（综合）,成都至联文化传播有限公司,2500.0
