Total_position,Total_company,Salary_per_month
诚聘平面美工设计助理+双休,深圳市星思源文化传播有限公司,6000.0
行政文员,深圳喜沃互动网络科技有限公司,6000.0
（周末双休高提成）粤语电话销售,深圳市柏林影视科技有限公司,4500.0
欧美互惠生 免费上美国大学 还年薪七万起,深圳市超级品牌顾问有限公司,4000.0
平面设计师,深圳启盈媒体有限公司,6000.0
销售代表,青岛中优德惠文化交流咨询有限公司,5000.0
应往届毕业生 五险 双休 高提成,深圳市尼可概念文化艺术策划有限公司,4000.0
策划助理,深圳奥格威广告有限公司,8000.0
资料员,深圳市华师兄弟文化传播有限公司,3000.0
人力资源实习生,深圳市万海悦文化传媒有限公司,4500.0
行政文员,深圳市卓筑文旅设计科技发展有限公司,3000.0
效果图 后期制作 建筑类,深圳市鼎瀚文化股份有限公司,4500.0
乐器老师（龙岗中心城）,深圳市新东华麒文化传播有限公司,4000.0
招聘：影视后期制作/平面设计助理,深圳市深白数码影像设计有限公司,8000.0
业务代表（应届生均可）5000+,深圳市思睿博雅咨询有限公司,4000.0
运营助理/网络推广（应届生）,北京巨擘广告制作有限公司,6000.0
销售代表,深圳结果营销文化传播有限公司,5000.0
文员,深圳市亿科思奇广告有限公司,4000.0
摄影公司诚招业务员 电话 销售,深圳市瑞云科技有限公司,4000.0
室内设计师,龙帆传媒集团,3500.0
创意部实习生,深圳七彩舟文化传播有限公司,6000.0
西西弗书店-店员（深圳花园城店）,深圳市西亚展览展示有限公司,6000.0
房屋平面绘制师,新好耶数字技术（上海）有限公司,1500.0
高薪诚聘业务员,重庆西西弗文化传播有限公司,3800.0
运营助理,云图（深圳）平面设计有限公司,3000.0
销售精英,深圳微速文化传媒有限公司,6000.0
影院服务员,深圳专注文化传媒有限公司,3000.0
网络销售/护肤销售/服装销售,深圳市鲁班会展有限公司,3000.0
市场专员,中影影院投资有限公司,0
客服专员,深圳得众文化传媒有限公司,8000.0
销售助理,深圳月步文化科技有限公司,4500.0
普工,深圳市宏德网络文化传媒有限公司,3000.0
电话销售,深圳市六方金桥展览策划有限公司,3000.0
影视后期制作,深圳市宝安广艺美术装饰有限公司,3000.0
实习生,深圳市畅享天空科技有限公司,4500.0
法务实习生,深圳市花开大地文化传媒连锁管理有...,6000.0
急聘美术老师,深圳市香港卫视国际传媒艺术有限公司,0
网络主播 高薪待遇,深圳海棠果影业有限公司,2000.0
市场/营销经理,深圳市幻想色文化发展有限公司,6000.0
高薪诚聘中小学英语教师,视尚（深圳）娱乐传媒有限公司,10000.0
效果图渲染、渲染实习生,深圳市华影深视传媒有限公司,5000.0
业务销售代表,深圳衡鼎文化发展有限公司,5000.0
上市公司急招 招聘助理/招聘专员/,深圳尖峰数字科技有限公司,8000.0
5000+包吃住+高额提成+免费培训,深圳市创点建筑设计有限公司,4000.0
文案编辑,深圳丝路数字视觉股份有限公司,4500.0
初级广告设计师/应届生亦可,深圳市歆威迪文化发展有限公司,8000.0
电商客服,深圳市声锐文化传播有限公司,6000.0
市场营销专员,深圳市红色高车广告有限公司,4500.0
销售助理,蓝狮国际文化传媒（深圳）有限公司,4000.0
诚聘市场助理,公司名,0
古装戏招聘演员化妆摄影服装导演助理,深圳市广豪科技服务有限公司,3000.0
灯光音响学徒,雅式展览服务（深圳）有限公司,3000.0
前台文员,深圳纵横南方影院发展有限公司,3000.0
电话销售,北京巨擘广告制作有限公司,6000.0
融异广告雏鹰计划-文案策划/编辑/广告创意实习生/助理,深圳市中科睿科技有限公司,3000.0
高薪诚聘-销售业务员,深圳市鼎业建筑装饰工程有限公司,4500.0
数据运营,深圳市聚讯科技有限公司,4500.0
3D设计师,深圳融异广告有限公司,3000.0
行政前台,深圳市约克文化传播有限公司,8000.0
视频剪辑师,深圳辉煌明天科技有限公司,4000.0
销售代表,深圳市逸朗轩文化传播有限公司,6000.0
招商助理,深圳市阳光三采文化科技有限公司,4000.0
工程绘图,深圳市三木联合文化发展有限公司,3000.0
招商经理,深圳市博悦创想科技有限公司,7000.0
客房服务员,巨星龙（深圳）投资控股有限公司,4500.0
电话销售+高薪+提成月入8k,深圳中影泰得影业股份有限公司,4000.0
粘盒机学徒,深圳市旭日伟业科技有限公司,4000.0
实习设计师,深圳市世杰文化投资有限公司,3000.0
销售精英（双休+高提成）,深圳格勤文化传播有限公司,5000.0
室内设计实习生,深圳市群力印刷包装有限公司,3000.0
储备设计师,深圳市博思堂文化传媒股份有限公司,1500.0
行政助理,深圳合众奇迹文化传媒有限公司,5000.0
互联网广告销售,深圳市福田区平行咨询工作室,4166.666666666667
审核文员不限经验5600起,ACTO 梦空间影城,4000.0
电话销售+新浪+腾讯+网络推广+高薪,深圳市该亚文化传播有限公司,3000.0
人事助理,广州天拓网络技术有限公司深圳分公司,6000.0
销售业务员,坤成网络,4500.0
业务经理,深圳市博凯网络技术有限公司,10000.0
项目主管,唯觅互动营销咨询（深圳）有限公司,3000.0
出纳行政,深圳市卓京影业有限公司,3500.0
活动执行,深圳市诗渊文化传媒有限公司,6000.0
网管,深圳市传力达体育文化发展有限公司,5000.0
数据专员,深圳囍汇国际创意有限公司,3000.0
行政助理（财务方向),深圳市瀚宇会议策划有限公司,4500.0
客服专员,深圳爱播文化传媒有限公司,3000.0
实习生,深圳新潮文化传媒有限公司,5500.0
高新诚聘销售顾问/销售代表/销售经理,广州蓝色光标市场顾问有限公司,4500.0
经理助理,深圳市力创广告有限公司,4500.0
网络主播,深圳市马一丁定位传播有限公司,0
AE,深圳中天智能科技有限公司,6000.0
策划（储备干部）,深圳市易拓广告传媒有限公司,4500.0
诚聘人力管理,深圳市星悦乐文化传媒有限公司,5000.0
科学老师,深圳市同路广告有限公司,4500.0
客户执行实习生J10324,深圳市维骏文化旅游科技有限公司,4500.0
项目专员/政府项目申报,东莞市然途广告有限公司,3000.0
新媒体运营实习生,深圳传艺美投资有限公司,5000.0
网络编辑 编辑经验不限,上海聚胜万合广告有限公司,2200.0
平面设计实习生 双休,视觉环球创意科技有限公司,4000.0
高级平面设计师,深圳微聚美科技有限公司,3000.0
助理文案（实习生）,深圳市西游网网络科技有限公司,3000.0
销售代表（毛绒机器人）,公司名,0
招生老师,华腾智汇品牌管理顾问（深圳）有限...,2000.0
运营优化师,深圳市高歌品牌营销策划有限公司,6000.0
业务助理,深圳信念广告有限公司,3000.0
招商专员,深圳市微明星网络科技有限公司,4500.0
外贸专员,广州益考文化活动策划有限公司,4500.0
会展业务,深圳英派科特广告传媒有限公司,8000.0
运营专员/运营助理/用户运营/市场营销,深圳菲尼诗装饰艺术有限公司,2800.0
总监助理,深圳汉艺企业管理咨询有限公司,6000.0
场地执行（豪霆赛车）,深圳市星光彩科技有限公司,3000.0
广告喷绘后期制作,深圳市汉马展览有限公司,3500.0
签约演员.模特.歌手（宣传推广）,北京尚可卓博信息科技有限公司,8000.0
展览销售精英,深圳市华璨文化传媒有限公司,3000.0
前台,深圳市三源色文化传播有限公司,4500.0
市场策划公关,深圳市精彩图文广告有限公司,3000.0
行政助理/媒介助理,北京龙族星工厂娱乐有限公司,6666.666666666666
项目助理,深圳玖鼎会展有限公司,4000.0
品牌文案/策划,佳兆业文化体育发展有限公司,4500.0
招商专员,深圳擎力文化有限公司,4000.0
招商专员（包住）（深圳）,通众传媒,4000.0
商务助理,广州市汇志文化传播股份有限公司,4500.0
助理分析师（应届毕业生）,深圳市角度广告有限公司,4500.0
网络主播,深圳金色田园教育科技股份公司,4500.0
文案,深圳市米高梅影业有限公司,8000.0
行政助理,深圳前瞻资讯股份有限公司,6000.0
巡检专员/运维专员,深圳市高工产业研究有限公司,4500.0
会计文员,深圳市夜映网络研发科技有限公司,5000.0
婚礼策划师实习生-应届毕业生优先,深圳市红苹果企业形象策划有限公司,4000.0
摄影后期/摄影助理,深圳全时四驱广告传播有限公司,3000.0
急聘5k电话销售+双休 可接应届生,深圳淘屏新媒体有限公司,4500.0
乐有家特种兵  诚聘诚聘营销精英  提供住宿,猫小兜动漫影视（深圳）有限公司,3000.0
售后文员,深圳市奥思艺文化传播有限公司,3000.0
