Total_position,Total_company,Salary_per_month
急聘 微信销售（高薪+高提成+无夜班）,星空文化传媒（广州）股份有限公司,3000.0
客服,广州家居热线网络科技有限公司,8000.0
舞蹈演员,广州曼体生物科技有限公司,6000.0
仓库文员（江高上班）,广州雅视文化传播有限公司,3000.0
书店店员,广州市舞星级文化演艺有限公司,10000.0
推广专员,广州市沸腾点信息科技有限公司,2000.0
高薪电话销售（高提成+福利齐全+晋升快）,广州唐宁文化传播有限公司,2500.0
企业策划人员,广州墨尔本网络科技有限公司,6000.0
前台文员,广州溢利投资咨询有限公司,6000.0
月薪6K--8K急招销售精英,广州达牛网络科技有限公司,4500.0
网络销售\微信销售\客服(单双休，包吃2餐）,广州腾鹰装饰设计工程有限公司,2500.0
艺术征集员,广州华逸文化传媒有限公司,6000.0
网络推广专员,广州点森企业形象策划有限公司,5000.0
行政前台,澳斯汀拍卖（广州）有限公司,10000.0
普工（包吃包住+急聘）,传播易-广告投放平台,4500.0
教育杂志文字编辑,广州市星哲文化传播有限公司,2000.0
销售业务员,广州市琳赛喷绘有限公司,3000.0
网络销售,广州市生旭教育咨询有限公司,8000.0
互联网广告销售,广州澜图广告制作有限公司,3000.0
影院营业员（UA花城汇）,广州光风霁月文化传播有限公司,12500.0
编辑（快公司）,广州天蟾网络科技有限公司,8000.0
会计助理（双休+五险）,英皇·UA电影城,3000.0
产品助理,21世纪报系,6000.0
才艺网络直播歌手,广州金依和广告有限公司,3000.0
市场实习生,广州星耀悦教育科技有限公司,4500.0
平面设计师/资深设计师,广州圣慕传媒有限公司,3000.0
天猫美工,东莞市星火教育科技有限公司佛山分...,2000.0
训练员,广州国乔广告有限公司,3000.0
客户经理AE,广州市帕洛玛文化传播有限公司,3000.0
网络推广专员（应届生+五险一金）,广州中喜文化股份有限公司,2000.0
珠宝销售顾问,广州市丹蓝广告有限公司,3000.0
文案策划,广州智橙广告有限公司,6000.0
行政人事专员,广州东西艺术创作有限公司,3000.0
媒介专员+急聘+包吃,广州构国学图品牌设计有限公司,3500.0
项目助理/项目管理/广告执行（第三事业部）,广州市承际工程设计有限公司,4500.0
网络客服,广州尚凝文化发展有限公司,4000.0
项目预算员,广州市天诺营销策划有限公司,3000.0
外贸跟单员,南京联展餐饮管理服务有限公司,3000.0
美工设计,广州睿视装饰工程有限公司,3000.0
支付宝口碑销售助理（急招）,广州市丽视广告材料有限公司,4500.0
客服专员,广州乾弘广告设备有限公司,3000.0
网络销售,广州一特信息科技有限公司,4000.0
出纳员,广州仁为本文化传媒有限公司,3000.0
教务辅导员,广州御藏文化发展有限公司,6000.0
可新人免费培训舞蹈演员模特礼仪,广州文昌文化发展有限公司,3000.0
销售专员,广州君穗传媒科技有限公司,4000.0
平面设计,公司名,0
英文文案策划,广州星润文化传媒有限公司,10000.0
前台客户,广州分享文化传播有限公司,4500.0
邀约专员,广州美声唱片有限公司,3000.0
督导助理,广州易海创腾信息科技有限公司,4000.0
礼仪迎宾 模特,广州爱秀文化传播有限公司,4500.0
高薪诚聘销售代表,广州华亚传媒有限公司,6000.0
抖音创意策划/抖音策划/抖音视频策划/抖音,广州安旭市场调研有限公司,3000.0
高薪零基础T台模特,广州星润文化传媒有限公司,8000.0
微信运营专员,广州君藏文化传播有限公司,4500.0
客服专员,广州恋上文化传播有限公司,4000.0
AE后期制作,广州星润文化传媒有限公司,8000.0
实习生,广州瓴达文化传媒有限公司,3000.0
行政文员,广州奥奇智慧营销策划有限公司,4000.0
文案,广州新艺数码科技有限公司,5000.0
业务员,广州市君临文化传播有限公司,2000.0
库管统计出纳员,广州市九问广告有限公司,3500.0
广告设计,广州品墨品牌策划有限公司,3500.0
客服专员/助理（非技术）,广州市凯博展览有限公司,2000.0
客服专员文职（社保朝九晚六）,广州诺之焱品牌策划有限公司,3000.0
销售代表,广州格林威尔文化传播有限责任公司,3000.0
推广督导,上海芙珂嗣企业管理咨询有限公司广...,3000.0
文秘,广州一网通网络传媒有限公司,3000.0
影视专员（实习）,广州孟道文化传播有限公司,3000.0
（高薪急聘）美食公众号业务专员,广州卓梦科技有限公司,4500.0
广告推销专员（五险一金+八小时工作制）,广州市中陶展览广告有限公司,4500.0
茶空间助理,腾讯汽车·城市站,2000.0
行政前台,广州粤蒲文化传播有限公司,8000.0
网络主播,广州莱盈丽文化传播有限公司,8000.0
网络销售专员,广东全网文化传媒股份有限公司,4500.0
设计员,广州扬悦博众广告有限公司,3000.0
展厅工作人员,深圳市聚娇文化传播有限公司,3000.0
新闻编辑实习生,广州创信文化传媒有限公司,3000.0
幼儿英语教师（实习）,上海富百群贸易有限公司,10000.0
销售带薪培训+国内外旅游,广东大音文化发展有限公司,2000.0
生产跟单员,广州典赞信息科技有限公司,2000.0
市场助理/专员（非销售）,广州芝麻街教育咨询有限公司,3000.0
游戏客服,广州微知信息科技有限公司,6000.0
淘宝客服,广州市东霖美术设计制作有限公司,3000.0
电商运营助理,广州数易文化发展有限公司,3000.0
影城员工***,广州千骐动漫有限公司,3000.0
动画渲染师/3D动画师,广州火星文化传播有限公司,4500.0
助理设计师,广州市晟堃沣源文化传媒有限公司,4500.0
新媒体编辑（情感类）,广州启科影院设计顾问有限公司,0
美工设计助理/实习美工,广东和筑文化传媒有限公司,4000.0
客服专员/在线客服(晋升+培训),佛山市品源照明科技有限公司,5000.0
项目管理员,广州市瘦妞传媒有限公司,6000.0
绘画师 平面绘画 绘画美工,广州菲立摄影有限公司,2000.0
产品专员（提供住宿+项目分成奖励+股份分红）,广东天缘网络科技有限公司,3000.0
管培生,广州壹加市场营销策划有限公司,3000.0
培训部主任,广州九圣品牌策划有限公司,2500.0
引导老师,公司名,0
行政前台（实习生）,广东微道有限公司,3000.0
微信销售,广州盛纵广告有限公司,4000.0
广告业务经理（广州）,广州新新力文化传播有限公司,3000.0
销售代表,印象宝贝专业儿童摄影机构,3000.0
招生顾问,上海威怡广告有限公司,2000.0
版权运营专员,广东三百六十度传播广告有限公司,3500.0
客服实习生文员3.5K+双休,深圳市东信时代信息技术有限公司,4000.0
销售经理,广州真上文化传播有限公司,3000.0
业务代表,广州蓝客电子商务有限公司,2000.0
会展业务专员,广州版权产业服务中心有限公司,3000.0
推广经理,广西弘昌文化有限公司,4500.0
资料查找文员,广州伊登高网络科技有限公司,4000.0
前台客服文员 年底双薪,深圳幸福汇文化发展有限公司广州分...,5000.0
媒介助理,中青旅（广东）国际会议展览有限公司,4500.0
营运经理(营运总监助理),妈妈网,5000.0
