House Name,District,Area,Acreage,House Price rmb/m²
科尔南城嘉园,萧山,南部卧城,82-182㎡,7600
科尔南城景园,萧山,临浦,75-151㎡,25425
水乡华庭,余杭,塘栖,86-138㎡,16426
星桥桂花城,余杭,星桥,53-70㎡,8000
珑昕泽第,余杭,临平,88-230㎡,22117
万银国际,江干,钱江新城,89-139㎡,35929
中意名仕苑,余杭,临平,88-166.95㎡,21500
滨江曙光之城,江干,城东新城,87-151㎡,36000
西城时代家园,余杭,老余杭,85-124㎡,24509
鸿港华庭,萧山,空港新城,79.78-149㎡,33112
重汽嘉泽苑,萧山,萧山新城,78.49-243.61㎡,29333
永安圆乡名筑,余杭,老余杭,280㎡,105
黄鹤山居,余杭,星桥,42-65㎡,23470
九龙一号,杭州周边,富阳,84-88㎡,20262
星耀城,滨江,长河,83-177㎡,41815
瑞麒时代,余杭,良渚,88.62-164.77㎡,37326
美郡园,萧山,江东新城,88-130㎡,17262
东城印象,江干,市中心,180-195㎡,28000
汇金锦绣学府,萧山,空港新城,113358㎡,75
瑞城花园,余杭,闲林,63105㎡,28336
万诚凰庭,萧山,临浦,152659㎡,11568
华成天地墅园,萧山,南部卧城,166700㎡,23000
万马伊顿庄园,杭州周边,临安,23110㎡,16406
绿都金域三江,萧山,闻堰,24986㎡,26320
三江名爵商务公馆,滨江,中兴,80-165㎡,40638
绿城元福里,下城,市中心,84000㎡,67525
北辰奥园,萧山,南部卧城,84-99㎡,23000
坤和西溪新天地,西湖,西溪,87-127㎡,30833
钱江彩虹府,之江,之江,85-188㎡,27000
金隅田员外,拱墅,半山,89-120㎡,29201
钱塘梧桐蓝山,余杭,临平,89-125㎡,22117
新城龙湖湾上风华,江干,丁桥,90-149㎡,26821
旭辉滨江东方悦府,萧山,湘湖,87-126㎡,34478
众安白马御府,萧山,萧山老城,103-151㎡,31399
君豪御园,桐庐县,桐庐,89-107㎡,6800
金地大运河府,拱墅,桥西,66-110㎡,37668
中骏钱塘御景,萧山,钱江世纪城,120-204㎡,17500
盈都江悦城,下沙,大学城北,90-410㎡,18667
春天华府,临安,临安,89-130㎡,16913
银杏汇,滨江,中兴,81-110㎡,37992
东日晴好,之江,之江,75-333㎡,29200
万科大家世纪之光,萧山,钱江世纪城,89.12-170.71㎡,28250
顺发康庄,萧山,钱江世纪城,157545㎡,25250
德意空港国际,萧山,空港新城,70-90㎡,17891
杭钢•尚堂府,拱墅,上塘,89-129㎡,37164
宋都东郡之星,下沙,大学城北,88-173㎡,18667
新城香悦奥府,萧山,钱江世纪城,103-171㎡,22000
金隅学府,上城,钱江新城,75-118㎡,50227
顺发江南丽锦,萧山,钱江世纪城,87-182㎡,20000
阳光城普升,江干,城东新城,121-139㎡,33625
金昌春和钱塘,萧山,钱江世纪城,88-313㎡,20000
滨江德信东方星城,江干,城东新城,77-130㎡,33857
宝丽金庭,余杭,塘栖,89-128㎡,14000
金成江南春城竹海水韵,余杭,闲林,89-128㎡,11000
招商雍和府,江干,城东新城,88-139㎡,33833
德信大家钱江府,江干,钱江新城,86-264㎡,39714
保利梧桐语,江干,城东新城,88-165㎡,33857
顺发恒园,萧山,萧山老城,74-87㎡,1000
绿城九龙仓钱塘明月,萧山,钱江世纪城,50-51㎡,34000
广宇锦绣桃源,拱墅,半山,45-330㎡,33856
奥克斯缔逸城,余杭,勾庄,81-90㎡,27520
复地黄龙和山,西湖,西溪,70-116㎡,31000
中旅城仕公馆,江干,丁桥,87-168㎡,30444
金地格林格林,江干,丁桥,89-135㎡,26562
运河天城国际,江干,市中心,87-137㎡,33000
城发云锦城,江干,丁桥,74-218㎡,16000
GDC金地德圣中心,萧山,萧山老城,90-110㎡,13000
滨江西溪之星,余杭,西溪,176-270㎡,22500
恒基旭辉府,余杭,崇贤,89-133㎡,11500
九龙仓碧玺,拱墅,桥西,84-139㎡,26500
天阳凤起,江干,钱江新城,89-135㎡,40375
天城府,江干,市中心,78-139㎡,55500
赞成檀府,余杭,临平,88.63-125.76㎡,22117
融创东南海,萧山,萧山新城,88-132㎡,16000
绿都金域东方,萧山,萧山老城,90-90㎡,25693
首开国风美域,西湖,申花,96-131㎡,30000
远洋香奈,江干,丁桥,89-189㎡,32044
奥克斯杭州未来中心,余杭,仓前,88-138㎡,23333
中新御景湾,萧山,萧山新城,85-137㎡,10800
新城香悦半岛,萧山,南部卧城,186-230㎡,23000
保利罗兰香谷,江干,丁桥,89-115㎡,26533
金地天逸,萧山,萧山新城,85-140㎡,29333
中国铁建国际花园,江干,城东新城,89-123㎡,33857
恒大澜悦帝景湾,萧山,南部卧城,51-353㎡,20000
滨江旭辉万家之星,余杭,勾庄,89-180㎡,33661
保利霞飞郡,萧山,钱江世纪城,87-137㎡,12000
融创河滨之城,西湖,西溪,88-143㎡,30000
首开望宸樾庐,拱墅,半山,82-183㎡,27860
运河玲珑香榭南苑,余杭,临平,68-136㎡,21500
合景叠彩园,余杭,西溪,86.15-132.03㎡,660
万科北宸之光拱宸,余杭,桥西,98-134㎡,36124
春风江南府,余杭,塘栖,89-160㎡,15800
远洋万和四季,江干,城东新城,38-81㎡,33857
铂金名筑,滨江,长河,87-142㎡,30000
微博公馆,余杭,小和山,87-138㎡,9000
逸居城,余杭,勾庄,78-100㎡,11000
中兴御田清庭,拱墅,半山,82-180㎡,27738
美丽湾,杭州周边,临安,50-78㎡,15538
新城峯璟,余杭,仓前,89-89㎡,22800
中栋国际,萧山,萧山老城,89-137㎡,35814
阳光城丽兹公馆,萧山,萧山新城,60-88㎡,29333
江东阳光名城,萧山,江东新城,81-146㎡,17150
蓝色嘉园,萧山,瓜沥,84-135㎡,15500
北湖绿洲花园,余杭,瓶窑,86-189㎡,8500
龙湖武林九里,江干,丁桥,76-197.7㎡,32274
溪悦宸府,余杭,闲林,125-166㎡,30084
新城红郡,江干,丁桥,36.34-164㎡,26883
万科新都会1958,下城,市中心,56-90㎡,67525
盛泰名都中心,下沙,下沙,89-128㎡,17000
红景凯丽晶座,萧山,钱江世纪城,89-139㎡,17800
锦润公寓,江干,市中心,89-138㎡,55500
龙湖水晶郦城,西湖,三墩,90-123㎡,20667
滨江江南之星,萧山,钱江世纪城,45-132㎡,35551
中天九溪诚品,之江,之江,147-185㎡,29200
建境巧克力公馆,萧山,萧山新城,72-132㎡,29333
梅和名府,萧山,萧山新城,75.44-94.69㎡,29333
宋都香悦郡,拱墅,半山,86-208㎡,33947
仁合银庭,余杭,仁和,86.27-139㎡,8000
富春硅谷麓园,杭州周边,富阳,86-138㎡,20262
远邦嘉裕天城,萧山,瓜沥,197-255㎡,15500
瑞城温莎郡,余杭,仓前,100-200㎡,10000
春江美庐,桐庐县,桐庐,76-363.01㎡,14867
旭辉宽墅,余杭,崇贤,115-139㎡,11500
明华佳乐苑,萧山,江东新城,72-360㎡,9328
景瑞天赋,萧山,钱江世纪城,118-139㎡,37180
昆仑府,西湖,西溪,133-212㎡,31000
碧桂园珑悦,萧山,钱江世纪城,89-132㎡,22000
千岛湖七星花园,淳安县,淳安,189-228㎡,20227
宋都丽郡国际,萧山,江东新城,70.07-109.59㎡,17262
顺发一品江山,桐庐县,桐庐,86.9-156.9㎡,14867
山水悦府,富阳,富阳,56-140㎡,23667
潮都华庭,萧山,空港新城,126-139㎡,16251
绿城乌镇雅园,杭州周边,其他,89-127㎡,16000
临江时代花苑,萧山,其他,90-130㎡,23000
雍熙山,余杭,临平,37-81㎡,50
方正御星,拱墅,桥西,89-93㎡,19000
恒鼎博邑郡,滨江,长河,62-169㎡,17500
天阳尚景国际,拱墅,申花,40-126㎡,26000
郡原九衡公寓,余杭,良渚,122-320㎡,27554
积家,滨江,浦沿,54-64㎡,38685
嘉凯城名城公馆,拱墅,桥西,86-129㎡,26500
中奥江锦国际,滨江,中兴,83-109㎡,43042
景瑞御蓝湾,余杭,老余杭,82-110㎡,6400
耀达金鼎阳光,余杭,仁和,75-160㎡,15874
朗诗花漫里,余杭,乔司,89-105㎡,11500
桂花星城,余杭,临平,89-130㎡,21500
合景瑜翠园（瑜翠公寓）,余杭,仓前,80-89㎡,16000
保亿丽景山,余杭,闲林,54-69㎡,15500
佳兆业君汇上品,余杭,临平,88-186㎡,11500
方正360空间,拱墅,桥西,86-137㎡,26500
东润枫华,江干,钱江新城,69-103㎡,37938
赞成香颂,余杭,临平,88-168㎡,21500
东海橙对,下沙,金沙湖,137-295㎡,12000
绿都四季华庭,萧山,南部卧城,33-66㎡,23000
绿城西溪融庄,余杭,西溪,89-125㎡,35000
永富铂晶中心,下城,华丰,42-88㎡,33869
万科紫台,江干,钱江新城,166-259㎡,41333
中粮晓悦公馆,下城,市中心,88-173㎡,66700
滨江钱塘印象,上城,钱江新城,89-137㎡,49747
名城燕园,拱墅,桥西,77-212㎡,26500
南北西岸,拱墅,桥西,87-138㎡,26500
保利东湾,下沙,沿江,125-230㎡,24403
精欧荣寓,下沙,下沙,87.5-163㎡,23896
和润园,西湖,三墩,90-198㎡,24450
中顺上尚庭,西湖,申花,89-330㎡,25000
龙湖春江彼岸,滨江,中兴,56-85㎡,40745
滨江紫金府,西湖,申花,70-287㎡,1254
万科良渚文化村春漫里,余杭,良渚,67-175㎡,25500
绿城丁香公馆,萧山,湘湖,88-135.37㎡,33081
文溪鼎园,西湖,市中心,86-265㎡,35000
元都新苑,下城,华丰,93-170㎡,33151
中粮云涛名苑,萧山,闻堰,85-115㎡,34022
贝利栖溪公馆,余杭,塘栖,111-215㎡,16426
越秀星汇悦城,余杭,勾庄,76.6-135.5㎡,17500
绿城西子紫兰公寓,拱墅,市中心,82-89㎡,34933
广汇栖水珑庭,余杭,塘栖,39.85-164.67㎡,15963
莱茵旺角七号,余杭,临平,63-152㎡,21500
钱江BLOCK,之江,之江,82-111㎡,29200
城建锦昌年华,余杭,崇贤,70-90㎡,11500
大业江东府,萧山,江东新城,43.45-87.39㎡,5300
弘通丁兰广场,江干,丁桥,79-138㎡,28750
宜家时代,拱墅,市中心,89-259㎡,34933
美好桂花金座,余杭,星桥,44-105㎡,7500
远洋大河宸章,拱墅,桥西,89-139㎡,26500
凯瑞金座,滨江,浦沿,89-139.81㎡,42430
大华海派风范,余杭,老余杭,52-211㎡,11000
野风珑园,余杭,临平,85.14-157.91㎡,21500
华枫名苑,余杭,临平,88-150㎡,20540
中凯东方红街,江干,城东新城,87.89-142㎡,29438
泊悦府,余杭,老余杭,90-460㎡,10000
集美岸上蓝山,余杭,闲林,60-120㎡,11000
富越香溪,西湖,西溪,38-98.35㎡,30000
杭州东部国际商务中心,下沙,金沙湖,46-74㎡,24659
福雷德广场,下沙,下沙,77-156㎡,23683
东方铭楼,下沙,金沙湖,36.4-100.12㎡,24581
德圣博奥城,萧山,萧山新城,89.38-91.18㎡,29333
禧福汇,江干,九堡,89-423㎡,37060
瑞金华翠嘉苑,余杭,星桥,75-180㎡,23675
天乐浅隐山,萧山,南部卧城,341㎡,23000
天阳观筑,江干,丁桥,60-250㎡,27178
青山湖玫瑰园,杭州周边,临安,65-125㎡,18183
海运国际,上城,钱江新城,300-395㎡,50156
野风秋雅,杭州周边,富阳,42-106㎡,7000
玉榕庄,余杭,闲林,70-160㎡,33333
绿城财通中心,下沙,金沙湖,371.54-409.45㎡,24842
奇景家苑,萧山,湘湖,83-150㎡,26320
青山湖81号,杭州周边,临安,89-135㎡,17495
广宇上东城,江干,丁桥,60-74㎡,12486
绿城巧园,滨江,浦沿,90-131.32㎡,38094
野风春晓,杭州周边,富阳,86-350㎡,6000
高运学林尚苑,萧山,萧山老城,89-240㎡,30262
钱塘梧桐燕庐,之江,之江,87-157㎡,29200
广大逸品,余杭,临平,84-150㎡,21500
中粮方圆府,下城,市中心,89-130㎡,67525
阳光景台,江干,九堡,41.2-168㎡,30302
华润翠庭,下城,华丰,86.65-141.53㎡,32896
金马同盛,萧山,萧山老城,88-118㎡,29356
泊林漫谷,余杭,小和山,400-500㎡,25132
大华海派风景,余杭,桥西,87.75-174.44㎡,36000
赞成良著,余杭,良渚,81-130㎡,35667
雪峰水岸枫庭,上城,钱江新城,122-174㎡,49284
中豪四季公馆,江干,丁桥,91.93-330.55㎡,28318
理想四维理想家园,余杭,临平,117-134㎡,21500
千岛湖玫瑰园,杭州周边,淳安,138-138㎡,15384
万均九月庭院,江干,九堡,242-262㎡,28345
赞成美树,余杭,桥西,89-180㎡,26994
上林湖,杭州周边,富阳,89-255㎡,20262
欣盛东方郡,滨江,中兴,89-423㎡,41580
钱塘帝景,滨江,中兴,49-86㎡,44657
天乐云都,萧山,南部卧城,210-210㎡,23000
申瑞国际,拱墅,申花,170-250㎡,39000
通和南岸花城,萧山,闻堰,73.21-122㎡,34160
元丰庆春御府,江干,市中心,102.12-149.91㎡,55500
武林华府,拱墅,市中心,89-180㎡,38000
华鼎君临阁,余杭,临平,89-138㎡,22117
凯旋门,江干,市中心,85-116㎡,55500
坤和求是里,西湖,其他,35-66㎡,250
伟邦江南绿园,桐庐县,桐庐,50㎡,14867
永富铂金中心,下城,市中心,73-137㎡,67525
万盛商贸城公寓,余杭,临平,89.92-146.45㎡,20540
林之语,萧山,钱江世纪城,209.48-316㎡,25250
金日紫爵公寓,萧山,萧山老城,151-220㎡,29754
新帝朗郡,之江,之江,44-144㎡,30000
绿城蓝色春江,桐庐县,桐庐,128196㎡,14867
潮人汇大厦,滨江,中兴,86-121㎡,43348
云溪竹境,临安,临安,42.9-51.77㎡,16913
华立和郡,余杭,临平,139.34-208.56㎡,17500
麦佳汇电子商务园,余杭,仓前,209-263㎡,22000
滨江一号公馆,桐庐县,桐庐,30-60㎡,14867
华业南岸晶都,滨江,长河,89-132㎡,35890
瑞博国际,西湖,三墩,76631㎡,20667
