House Name,District,Area,Acreage,House Price rmb/m²
郡望府,萧山,萧山老城,75-295㎡,17000
绿都御景蓝湾,萧山,闻堰,74-222㎡,16000
野风启城,余杭,塘栖,52-130㎡,7000
丽晶国际,萧山,钱江世纪城,130-182㎡,26400
艺尚里,余杭,临平,57-260㎡,22117
顺发旺角城二期,萧山,萧山新城,137-235㎡,20000
恒和依山郡,余杭,老余杭,48-295㎡,19167
富春和园,杭州周边,富阳,88-125㎡,17575
同方春江燕语,桐庐县,桐庐,89-119㎡,14867
碧秀名庭,萧山,萧山新城,87-137㎡,29333
德信泊林春天,萧山,钱江世纪城,89.3-138㎡,17000
龙山公馆,杭州周边,其他,90-221㎡,15254
新义郡,萧山,临浦,105-105㎡,6300
汇宇和庭,萧山,南部卧城,79.68-131.8㎡,23000
大家小墅,杭州周边,富阳,130-306㎡,15500
香格名苑,萧山,临浦,80-131㎡,7700
绿城英溪桃源,杭州周边,其他,90-138㎡,18483
碧桂园滨湖城,杭州周边,其他,207-240㎡,6300
联合畔上居,拱墅,半山,99-129㎡,22000
华立永通逸城,杭州周边,富阳,192㎡,28650
富力十号洋房,余杭,仓前,87-180㎡,24000
百骊府,杭州周边,临安,31-137㎡,15422
山水国际,杭州周边,富阳,115㎡,21792
青山鹤岭,杭州周边,临安,90-168㎡,17556
恒鑫贤明府,杭州周边,富阳,43.6-166㎡,14800
龙湖春江郦城,滨江,西兴,75-119㎡,42113
天鸿君邑,滨江,浦沿,88-199㎡,37144
南北乐章,余杭,瓶窑,63-174㎡,6100
朗诗田园绿郡,拱墅,半山,73-130㎡,29472
复地连城国际,余杭,乔司,47-47㎡,25631
德信东望,江干,城东新城,100-170㎡,24000
玲珑府•叮当,滨江,西兴,36-61㎡,16000
上亿彩虹郡,余杭,勾庄,73-92㎡,9000
和达东东城,下沙,沿江,72-107㎡,19000
天阳九筑,江干,九堡,77.68-125㎡,32667
融信蓝孔雀,拱墅,申花,89-187㎡,26000
佳苑玉都枫景,余杭,良渚,90-133㎡,25500
远洋公馆绿园,拱墅,市中心,74-207㎡,38000
华元蒙卡岸,余杭,闲林,90-400㎡,28531
绿城蘭园,下城,市中心,87-173㎡,33000
雅戈尔西溪晴雪,西湖,西溪,160-300㎡,30000
滨江·金色黎明,江干,城东新城,53-259㎡,22000
凯德龙湾,拱墅,桥西,158-276㎡,26500
众安启航社,萧山,闻堰,88-127㎡,35792
绿城风华苑,余杭,临平,82-180㎡,21500
耀翔PARTY LIFE悦尚,拱墅,桥西,63.4-141㎡,15000
德信泊林印象,江干,九堡,79.2-114.5㎡,28519
东海柠檬郡,下沙,下沙,38.85-57㎡,13000
盈都揽悦,下沙,大学城北,90-132㎡,18667
红杉雅园,西湖,三墩,70-138㎡,20667
万科公园大道,江干,城东新城,40-95㎡,33857
新城山语院,余杭,临平,89-138㎡,10000
杰立公馆,江干,市中心,88-125㎡,55667
恒滕澜山公馆,余杭,老余杭,44-196.05㎡,7000
金地申花里,拱墅,申花,53-55㎡,20000
金地自在城,西湖,三墩,89.13-143㎡,20667
华鼎君临天下城,余杭,临平,60-137㎡,22117
瑞金华庭嘉苑,余杭,星桥,40-139㎡,22145
德信早城,下沙,金沙湖,89-126㎡,23683
和达城,下沙,下沙,89-139㎡,23842
三江花园道壹号,拱墅,申花,160-270㎡,20000
名城湖左岸,下沙,金沙湖,89.47-123.39㎡,24531
东方一品,萧山,萧山新城,54-78㎡,29333
伟邦江南名都,桐庐县,桐庐,60-105㎡,14867
创智金宸,余杭,临平,50-50㎡,19425
君尚金座,滨江,中兴,40-50㎡,42730
YOU盘时代,西湖,申花,45-61㎡,31500
美达北城天地,拱墅,桥西,74-81㎡,37078
创美华彩国际,西湖,三墩,168.73-175㎡,20667
原筑壹号,江干,城东新城,87.63-174.79㎡,27000
绿城紫桂公寓,余杭,星桥,87-138㎡,23294
绿城翡翠湾,余杭,西溪,44-69㎡,13000
昆仑天籁,江干,丁桥,90.73-148.06㎡,28067
领骏世界,下城,市中心,50-139.75㎡,66700
石榴派,余杭,良渚,72-128㎡,118
中铁田逸之星,下城,华丰,90-139㎡,32769
中港金岸提香,余杭,中泰,90-295㎡,23584
星汇荣邸,滨江,浦沿,74-139㎡,38173
恒逸金榈湾,萧山,南部卧城,90-140㎡,23000
中海紫藤苑,西湖,三墩,64-150㎡,20667
莱蒙水榭春天,滨江,中兴,70-138㎡,42475
亿丰蔚蓝郡,余杭,良渚,80-175㎡,25500
万和玺园,下城,市中心,86-130㎡,24000
滨江万家星城,下城,华丰,82.33-133㎡,24000
建工丽晶湾,拱墅,申花,460-460㎡,18000
东冠逸景花苑,余杭,乔司,40.12-83.8㎡,25333
金都阳光田园,杭州周边,其他,89-135㎡,17164
天邑国际,拱墅,桥西,81-138㎡,26500
圣奥领寓,江干,九堡,89-125㎡,28828
鑫福万泰华庭,萧山,江东新城,54-106㎡,18042
滨江金色江南,萧山,钱江世纪城,110-126㎡,17000
美好桂花星座,余杭,星桥,84-139㎡,23840
星星港湾十二岛,下沙,大学城北,87.58-136.81㎡,250
嘉里桦枫居,下城,华丰,46-85㎡,32472
星洲竹影翠庭,余杭,闲林,78-131㎡,25858
东和时代,滨江,中兴,90-90㎡,42106
万泰新语,下城,华丰,146-185㎡,13000
中海西溪华府,西湖,西溪,137-186㎡,31000
钱王文化广场,杭州周边,临安,88-178㎡,16052
贺田尚城璟湾,滨江,中兴,77-162㎡,38576
金瑞城市风景,拱墅,桥西,29.35-40.45㎡,26500
泊金湾,杭州周边,富阳,159.46-171.25㎡,18600
象山国际广场,之江,之江,89-179㎡,22500
海威国际,滨江,中兴,97.15-164.88㎡,44522
紫玉福邸,江干,市中心,90-338㎡,24000
东都江南名苑,桐庐县,桐庐,89-180㎡,14867
名门世家,萧山,南部卧城,70.04-118㎡,19000
复地复城国际,杭州周边,富阳,45-130㎡,18600
广大同城印象,余杭,老余杭,87.18-238㎡,8880
保利湾天地,下沙,沿江,89-135㎡,19000
莱德绅华府,拱墅,申花,45-87㎡,24000
大家多立方,江干,九堡,89-138㎡,15000
恒安名座,萧山,萧山老城,37-70㎡,30028
云厦连园,滨江,中兴,127.73-219.54㎡,37244
西房云溪印象,之江,之江,100-134㎡,22500
中兴和园,滨江,长河,138.6㎡,37981
滨江花园,桐庐县,桐庐,278㎡,14867
荣正山水半岛,桐庐县,桐庐,89.04-133.74㎡,14867
香洲里,余杭,闲林,117-137㎡,33333
湖漫雅筑,滨江,长河,97-119㎡,37917
中粮大悦城天悦,拱墅,市中心,59-330㎡,32000
富阳宝龙城市广场,杭州周边,富阳,91-117㎡,11500
云都美浓小镇,萧山,南部卧城,76.6-129.1㎡,23000
万马樱花雅苑,杭州周边,临安,76.55-138.97㎡,15555
树兰书香名邸,余杭,临平,376-602㎡,19375
复地又一城,余杭,乔司,90-120㎡,25938
绿城云栖玫瑰园,之江,之江,89-139.14㎡,33000
远洋心里,江干,城东新城,89㎡,29417
帝凯帝景园,萧山,江东新城,88㎡,16861
双溪竹海雅苑,余杭,老余杭,89-89㎡,14138
广业金禾嘉园,杭州周边,临安,76-112㎡,15983
德信晓宸,拱墅,市中心,85-180㎡,34933
恒远锦绣兰庭,杭州周边,富阳,81-256.24㎡,19597
公元名家,杭州周边,富阳,90.41-166.14㎡,17575
嘉威江南水乡,桐庐县,桐庐,90.64-172.54㎡,14867
大成名座,萧山,萧山新城,147-230㎡,29333
丁香花园,杭州周边,富阳,189.04-236.51㎡,18935
西溪天堂悦居,西湖,西溪,40-80㎡,30857
盛元蓝爵国际,萧山,萧山新城,76-95㎡,29333
东吴商城,杭州周边,富阳,143-163㎡,18851
知本大厦,滨江,中兴,130-130㎡,39368
金瑞大厦,萧山,萧山新城,89-90㎡,29200
德邑上城,杭州周边,富阳,90-100㎡,18851
高运高庄,萧山,南部卧城,87-261㎡,7960
金色阳光,杭州周边,淳安,89-158㎡,15256
府尚公馆,萧山,闻堰,539㎡,36887
江盛江南岸,萧山,江东新城,144289㎡,6500
绿城桐庐玫瑰园,桐庐县,桐庐,15196㎡,14867
金久城市花园,桐庐县,桐庐,100000㎡,7000
首业御东湾,萧山,萧山新城,38743㎡,29200
润和亿城嘉园,下城,华丰,60966㎡,32710
富春红郡,杭州周边,富阳,80000㎡,20262
铭鹤花园,杭州周边,富阳,40㎡,20262
红街广场,江干,九堡,43000㎡,39822
万马万锦山庄,杭州周边,临安,47806㎡,16027
绿都嘉丰公馆,萧山,南部卧城,500000㎡,23000
金禾嘉园,杭州周边,临安,150000㎡,16027
新农都永泰名苑,萧山,萧山新城,100000㎡,29200
吴越山庄,杭州周边,临安,20074㎡,16029
山水水印林语,杭州周边,富阳,89-113㎡,17583
北郡中央公馆,余杭,塘栖,120-200㎡,18220
和昌府,余杭,良渚,88-129㎡,27203
德信英溪大院,杭州周边,其他,84.3-118.7㎡,17771
中铁九逸,余杭,临平,89-139㎡,18167
赞成杭家,余杭,崇贤,90-125㎡,16000
招商九龙仓学院北麓,拱墅,申花,115㎡,32000
越秀亲爱里,江干,城东新城,60-90㎡,28000
万科大家九都会,富阳,富阳,87.7-255㎡,23667
得力名望府,萧山,萧山老城,109-260㎡,24835
郡原相江公寓,江干,九堡,90-139㎡,28623
中港罗兰小镇,余杭,中泰,80-110㎡,23959
景瑞悦西台,拱墅,申花,86-135㎡,35667
中国铁建德信君宸,萧山,钱江世纪城,86-345㎡,22000
天鸿香榭里,拱墅,桥西,89-127㎡,26500
龙湖香醍溪岸,余杭,塘栖,90-139㎡,250
合景天峻,余杭,仓前,78-420㎡,23333
宋都东郡国际,下沙,下沙,84.1-133.5㎡,23543
绿城之江1号,之江,之江,49.34-125㎡,1100
美好桂花溪园,余杭,瓶窑,80-231㎡,8300
广宇东承府,江干,丁桥,333-378㎡,27303
众安理想湾,余杭,临平,85-170㎡,12000
钱江水晶澜轩,滨江,中兴,89-139㎡,40200
旭辉时代城,余杭,崇贤,138-310㎡,11500
碧桂园西江月,拱墅,申花,74-137㎡,39000
绿城玉园,余杭,临平,89-128㎡,21500
宝嘉誉峰,拱墅,桥西,89-125㎡,26500
凯喜雅锦河湾,余杭,勾庄,89-227㎡,15000
阳光城翡丽湾,江干,丁桥,115-166㎡,25000
嘉里云荷廷,之江,之江,45-240㎡,29200
融创玖樟台,江干,城东新城,78-139㎡,0
瑞金华丽嘉苑,余杭,星桥,75-129㎡,23703
融信学院府,拱墅,申花,82-197㎡,35667
天阳尚城国际,江干,城东新城,80-139㎡,33625
金鼎华庭,余杭,仁和,77.3-130㎡,18879
恒厚阳光城,余杭,中泰,90-128㎡,23827
龙元东新府,下城,市中心,72-200㎡,67525
方兴黄龙金茂悦,西湖,文教,101-175㎡,40000
凯德湖墅,拱墅,市中心,94-139㎡,34933
绿城留香园,江干,钱江新城,89-191㎡,40375
锦尚唐宁郡,临安,临安,108-169㎡,16913
富力十号,余杭,仓前,85-120㎡,22800
顺发旭辉·国悦府,萧山,萧山新城,59-115㎡,29333
金地艺境,余杭,乔司,86-128㎡,25240
交通晓时代,江干,城东新城,281715㎡,33625
中国铁建青秀城,萧山,萧山新城,138-180㎡,29333
余之城,余杭,临平,88-118㎡,18119
万科良渚文化村秋荷坊,余杭,良渚,57.72-126㎡,25500
中国铁建江南国际城,萧山,萧山新城,90-472㎡,29333
众安朝阳8号,萧山,萧山新城,154054㎡,13000
众安景海湾,萧山,钱江世纪城,89-108㎡,9200
和达御观邸,下沙,金沙湖,89-137㎡,23000
西溪永乐城,余杭,西溪,90-128㎡,30000
